Date;Price;Open;High;Low;Vol.;Change %
Aug 13, 2019;2680.12;2688.92;2697.53;2665.35;-;-0.36%
Aug 12, 2019;2689.93;2687.12;2698.39;2682.05;-;0.38%
Aug 09, 2019;2679.71;2696.65;2700.95;2678.07;-;-0.63%
Aug 08, 2019;2696.69;2693.17;2707.62;2693.17;-;0.81%
Aug 07, 2019;2674.98;2683.11;2696.53;2666.41;-;-0.31%
Aug 06, 2019;2683.35;2654.34;2686.86;2654.11;-;1.29%
Aug 05, 2019;2649.16;2666.85;2676.61;2645.12;-;-0.96%
Aug 02, 2019;2674.90;2707.65;2716.60;2673.97;-;-2.00%
Aug 01, 2019;2729.42;2727.68;2737.91;2722.48;-;-0.37%
Jul 31, 2019;2739.50;2737.80;2750.06;2723.54;-;0.18%
Jul 30, 2019;2734.68;2730.38;2735.21;2714.01;-;0.23%
Jul 29, 2019;2728.27;2715.74;2732.86;2714.44;-;0.46%
Jul 26, 2019;2715.68;2697.21;2733.32;2694.84;-;0.54%
Jul 25, 2019;2701.02;2679.38;2723.44;2665.21;-;0.68%
Jul 24, 2019;2682.91;2706.73;2708.50;2677.35;-;-0.67%
Jul 23, 2019;2701.06;2686.98;2709.24;2683.39;-;0.63%
Jul 22, 2019;2684.25;2699.31;2705.07;2684.25;-;-0.60%
Jul 19, 2019;2700.57;2710.44;2726.89;2700.54;-;-0.07%
Jul 18, 2019;2702.59;2705.63;2714.55;2694.74;-;-0.39%
Jul 17, 2019;2713.17;2715.67;2726.22;2704.28;-;-1.55%
Jul 16, 2019;2755.88;2754.05;2757.35;2736.44;-;-0.02%
Jul 15, 2019;2756.44;2783.45;2785.80;2755.43;-;-0.76%
Jul 12, 2019;2777.58;2787.09;2788.70;2760.46;-;-0.43%
Jul 11, 2019;2789.66;2825.20;2828.72;2779.41;-;-1.17%
Jul 10, 2019;2822.75;2824.79;2833.18;2808.76;-;0.00%
Jul 09, 2019;2822.66;2821.89;2835.18;2816.79;-;0.00%
Jul 08, 2019;2822.55;2823.14;2823.67;2806.97;-;-0.45%
Jul 05, 2019;2835.35;2842.97;2848.40;2827.96;-;-0.26%
Jul 04, 2019;2842.78;2823.33;2842.78;2813.66;-;0.67%
Jul 03, 2019;2823.95;2810.10;2827.76;2799.60;-;0.50%
Jul 02, 2019;2809.81;2802.82;2810.02;2795.36;-;0.30%
Jul 01, 2019;2801.47;2777.08;2813.44;2777.08;-;1.29%
Jun 28, 2019;2765.85;2777.94;2786.66;2761.46;-;-0.50%
Jun 27, 2019;2779.66;2774.75;2790.59;2765.61;-;0.16%
Jun 26, 2019;2775.14;2754.91;2778.25;2751.51;-;0.77%
Jun 25, 2019;2753.96;2761.39;2763.88;2738.34;-;-0.31%
Jun 24, 2019;2762.65;2762.17;2772.37;2758.18;-;0.05%
Jun 21, 2019;2761.23;2777.54;2779.32;2750.54;-;-0.68%
Jun 20, 2019;2780.20;2758.53;2788.19;2760.20;-;0.76%
Jun 19, 2019;2759.12;2763.07;2775.83;2751.58;-;-0.09%
Jun 18, 2019;2761.69;2732.47;2761.69;2723.99;-;1.00%
Jun 17, 2019;2734.31;2737.97;2757.89;2728.61;-;-0.18%
Jun 14, 2019;2739.28;2757.58;2772.06;2738.62;-;-0.69%
Jun 13, 2019;2758.36;2750.42;2759.16;2734.40;-;0.24%
Jun 11, 2019;2751.75;2718.13;2759.57;2717.75;-;0.33%
Jun 10, 2019;2742.59;2734.16;2746.80;2725.65;-;0.48%
Jun 07, 2019;2729.61;2734.94;2743.11;2725.43;-;0.05%
Jun 06, 2019;2728.25;2701.55;2731.73;2700.30;-;0.98%
Jun 05, 2019;2701.84;2706.66;2713.82;2690.43;-;-0.16%
Jun 04, 2019;2706.29;2726.06;2731.10;2690.13;-;-0.87%
Jun 03, 2019;2729.93;2660.64;2743.81;2649.78;-;2.42%
May 31, 2019;2665.33;2655.76;2665.42;2639.19;-;0.22%
May 30, 2019;2659.52;2645.00;2665.28;2642.27;-;0.70%
May 29, 2019;2641.15;2607.11;2642.23;2600.79;-;1.20%
May 28, 2019;2609.78;2634.13;2640.81;2596.30;-;-0.88%
May 27, 2019;2632.95;2620.00;2632.95;2617.63;-;0.52%
May 24, 2019;2619.24;2621.94;2642.40;2616.56;-;0.02%
May 23, 2019;2618.61;2634.19;2634.07;2615.70;-;-0.76%
May 22, 2019;2638.71;2619.66;2645.70;2610.46;-;0.85%
May 21, 2019;2616.53;2575.15;2619.77;2572.36;-;1.75%
May 20, 2019;2571.65;2582.01;2588.39;2567.11;-;-0.23%
May 17, 2019;2577.48;2576.45;2587.26;2569.10;-;-0.14%
May 16, 2019;2581.11;2552.69;2590.46;2552.34;-;1.04%
May 15, 2019;2554.49;2569.33;2576.56;2549.17;-;-0.31%
May 14, 2019;2562.33;2508.93;2566.92;2509.51;-;2.13%
May 13, 2019;2508.87;2512.23;2531.54;2506.47;-;-0.24%
May 10, 2019;2514.87;2538.16;2540.33;2511.16;-;-1.16%
May 08, 2019;2544.43;2563.66;2564.38;2544.43;-;-0.81%
May 07, 2019;2565.10;2579.59;2583.18;2556.98;-;-0.57%
May 06, 2019;2579.75;2569.28;2579.75;2552.34;-;-0.05%
May 03, 2019;2580.95;2574.11;2587.09;2572.84;-;0.22%
May 02, 2019;2575.22;2558.81;2580.92;2557.69;-;0.62%
Apr 30, 2019;2559.32;2570.19;2570.33;2552.86;-;-0.41%
Apr 29, 2019;2569.83;2564.09;2577.46;2556.71;-;0.24%
Apr 26, 2019;2563.72;2560.70;2563.72;2547.87;-;0.11%
Apr 25, 2019;2560.94;2578.52;2586.93;2558.75;-;-0.70%
Apr 24, 2019;2579.05;2587.07;2587.24;2567.38;-;-0.33%
Apr 23, 2019;2587.48;2586.06;2599.58;2576.82;-;0.11%
Apr 22, 2019;2584.74;2567.24;2585.76;2567.62;-;0.81%
Apr 19, 2019;2563.90;2561.11;2566.88;2560.73;-;0.12%
Apr 18, 2019;2560.80;2567.34;2567.34;2547.37;-;-0.29%
Apr 17, 2019;2568.26;2563.47;2574.81;2560.04;-;0.33%
Apr 16, 2019;2559.84;2547.17;2567.06;2540.35;-;0.58%
Apr 15, 2019;2545.12;2564.48;2569.92;2539.74;-;-0.57%
Apr 12, 2019;2559.72;2550.87;2569.84;2547.00;-;0.32%
Apr 11, 2019;2551.45;2578.37;2587.09;2551.45;-;-1.05%
Apr 10, 2019;2578.58;2571.70;2591.69;2565.33;-;0.32%
Apr 09, 2019;2570.28;2563.85;2574.07;2556.37;-;0.40%
Apr 08, 2019;2560.07;2542.61;2560.07;2542.61;-;0.75%
Apr 05, 2019;2540.99;2535.50;2548.52;2534.78;-;0.22%
Apr 04, 2019;2535.50;2530.56;2538.36;2523.69;-;0.13%
Apr 03, 2019;2532.32;2530.90;2549.56;2530.90;-;0.18%
Apr 02, 2019;2527.77;2523.03;2532.34;2514.55;-;0.26%
Apr 01, 2019;2521.25;2498.73;2527.06;2498.73;-;0.97%
Mar 29, 2019;2497.10;2493.77;2509.65;2486.72;-;0.19%
Mar 28, 2019;2492.40;2487.70;2497.65;2482.82;-;0.20%
Mar 27, 2019;2487.48;2510.69;2514.48;2487.48;-;-1.00%
Mar 26, 2019;2512.63;2498.60;2520.02;2492.36;-;0.60%
Mar 25, 2019;2497.59;2487.89;2499.41;2473.76;-;0.20%
Mar 22, 2019;2492.70;2507.96;2509.96;2486.01;-;-0.60%
Mar 21, 2019;2507.81;2505.06;2514.72;2497.99;-;0.14%
Mar 20, 2019;2504.23;2493.37;2504.23;2484.27;-;0.44%
Mar 19, 2019;2493.28;2485.05;2497.18;2484.48;-;0.39%
Mar 18, 2019;2483.70;2477.03;2488.50;2467.45;-;0.28%
Mar 15, 2019;2476.73;2459.78;2476.73;2457.36;-;0.77%
Mar 14, 2019;2457.79;2469.38;2475.85;2454.74;-;-0.52%
Mar 13, 2019;2470.61;2468.26;2470.61;2452.09;-;0.10%
Mar 12, 2019;2468.25;2469.60;2479.40;2461.26;-;0.09%
Mar 11, 2019;2465.94;2474.45;2474.54;2459.78;-;-0.43%
Mar 07, 2019;2476.64;2491.83;2492.61;2473.31;-;-0.70%
Mar 06, 2019;2494.04;2467.70;2497.08;2467.70;-;1.13%
Mar 05, 2019;2466.23;2472.19;2473.76;2458.07;-;-0.31%
Mar 04, 2019;2473.79;2478.91;2483.27;2469.50;-;-0.17%
Mar 01, 2019;2478.01;2487.44;2494.89;2476.35;-;-0.29%
Feb 28, 2019;2485.27;2489.09;2490.57;2468.06;-;-0.22%
Feb 27, 2019;2490.65;2495.52;2502.59;2479.44;-;-0.14%
Feb 26, 2019;2494.02;2488.43;2494.02;2470.35;-;-0.02%
